,name,category_1,category_2,origin,description
2668,Sphoduge Drassis Martine Rose 2016,Pink and Rosé,Rosé,California,"Spicy aromas of strawberry and raspberry; orange blossom, and sweet melon. Flavors mirror aromas with flavors of white peach, tangerine,Paris pear, and honeydew. A well-balanced acidity gives the wine a crisp, refreshing finish.  The wine is excellent as a refreshing aperitif and also pairs well with Mediterranean foods."
2669,Fellafers Pinoz Gron (1.5 Liter Magnum) 2017,Red Wine,Bordeaux Red Blends,"Napa Valley, California","Aromas of blackberry, black cherry, and mocha. The entry opens with flavors of blueberry, blackberry, and plum with a touch of oak. Medium-bodied with ripe tannins and a editor’s signature touch of acidity. The finish is soft and pleasant, with lingering flavors of black fruit."
2670,Sumankon Vinazar Mecailina Zinfandel 2011,Red Wine,Zinfandel,"Central Coast, California","Our 2011 Mecailina is an aromatic wine with spice, blackberry, and plum aromas, with notes of black pepper, dark chocolate, and oak. On the palate, the wine is medium bodied with smooth, soft tannins and a long, juicy finish."
2671,Nider Jama Organice Resand (OK Koshlo & Pithers Sprroncof Reserve Cabernet Sauvignon 1995,Red Wine,Cabernet Sauvignon,"Tuscany, Italy","Deep garnet red in color with good intensity. Aromas are very attractive with a hint of black pepper, leather, blackberries and a touch of vanilla and cedar. Full-bodied with silky tannins. Full, warm and very persistent in the mouth."
2672,Caron Estate Pinot Noir 2006,Red Wine,Pinot Noir,"Willamette Valley, Oregon","This is a lively wine with intense aromas of raspberry, spice, and floral tones. The mouthfeel is full of fruit flavors, with sweet cherry and blackberry, with hints of spice, vanilla, and earth. The finish is long with supple tannins. The wine has great depth and length with a lingering finish. This is an easy drinking wine that will age well over the next 3-5 years. uating from the vineyards of Oregon."
2673,Wortli-Merlot Cabernet Sauvignon 2013,Red Wine,Cabernet Sauvignon,"Napa Valley, California","The 2013 Napa Valley Cabernet Sauvignon is a vibrant wine with a dark garnet color. The aromas of this wine are classic, rich and complex. There are blackberries, black cherries and spices with aromas of clove, nutmeg, vanilla and oak. The flavors mirror aromas with red fruit and cherries, along with ripe blackberries, black cherries and ripe blackberries. The mouthfeel is full, well-balanced and silky, with rich flavors of sweet blackberries and black cherries and well-integrated tannins. The wine is round with sweet, round and well-integrated tannins. The mouthfeel is round, well-balanced and silky, with ripe, sweet and ripe tannins. This is Neanderly enjoyable now and will cellar well for the next 3-5 years. This is a classic wine for the cellar."
2674,Hons Hoses Ferdi Cabernet Sauvignon 1998,Red Wine,Cabernet Sauvignon,Chile,"This classic, medium-bodied Cabernet Sauvignon has aromas of ripe, juicy cherries, cassis and plums with mineral tones.  The palate is soft and round with flavors of blackberries, currants and dark chocolate, finishing with a touch of oak and firm, well-integrated tannins.  The finish is long and spicy, with lingering flavors of spice."
2675,Prinbarn Cobaye H.A. Miches leOermelle Zinfender 2016,Red Wine,Zinfandel,"Amador, Sierra Foothills, California","With the perfect balance between fruit, acidity and tannin, the H.A. Miches leOermelle is a well-crafted, elegant wine with aromas and flavors of strawberry, cherry, and raspberry that are complemented by a pleasant minerality and an intriguing hint of sweet oak. The wine is rich and juicy on the salvageably smooth, yet generous, and balanced palate. It will continue to improve for the next 5-8 years. Enjoy with red meat dishes, poultry, and other hearty foods."
2676,Puchtensaso Reserva 1997,Red Wine,Tempranillo,"Rioja, Spain","This wine is the second wine from the estate, founded by the founders of Puchtensaso. The wines from the estate are the most concentrated and structured of the Rioja bottlings. This wine is 100% Tempranillo, from the vineyard in La Mancha, located in the area of Tormares, the historic region of Spain.  The wine is aged in French oak casks for 24 months.  The resulting wine is smooth and veryQUIREING to drink now, but will continue to improve for at least 5 to 10 years."
2677,Chateau Partaruset Blanc 2013,White Wine,Other White Blends,"New York, Other U.S. Figured out the exact blend of Sauvignon Blanc and Chardonnay.  Aromas of pear, lime, green apple and mineral partisan notes.  Medium-bodied, full bodied and richspace with flavors of pear womb and citrus zest, the wine is well-balanced with bright acidity and flavors of lime and stone fruit with a lingering mineral, mineral, apple and nutty finish.  This wine is a terrific pairing with grilled fish and shellfish, creamy pastas, and mildly flavored Asian foods. Honestly",
2678,Chateau Vinnamey andonoan Pinot Noir 2006,Red Wine,Pinot Noir,"Willamette Valley, Oregon","An expressive nose with red fruits, sweet vanilla, and toasty oak aromas. Rich mouthfeel with red fruits, floral and spice. This wine has great concentration, sweet tannins, and a long, elegant finish.    with great depth and structure, with fresh acidity and good length. It will cellar well for 5-8 years."
2679,Domaines Fernes Pinot Noir 2005,Red Wine,Pinot Noir,Willamette Valley insertion of Willamette Valley fruit.  Willamette Valley fruit is grown in the Willamette Valley Vineyards in the coolest regions of the state.  These grapes are harvested,
2680,Chateaue Reserve La & Filu 1996,Red Wine,Other Red Blends,Chile,"Intense ruby red. Aromas of fresh red fruit and spices. This wine is well-balanced, fresh and easy to drink.  This vintage has produced a very balanced wine with good intensity and structure.  The wine has good intensity and body with a long, fresh finish."
2681,Chateau Anseauz Reservaas Lumignue 2000,Red Wine,Other Red Blends,Chile,"Luminous and brilliant ruby red in color with an attractive bouquet of spices and vanilla.  Fresh and well-balanced, with well-balanced tannins and good acidity.  It is an elegant and persistent wine.  It is an excellent companion to Mediterranean dishes, as well as roasted and grilled fish and game."
2682,Domaine Sagnet Caintousne 1997,White Wine,Other White Blends,"Central Coast, California","Aromas of fresh pear, citrus, floral and honeysuckle.  A bright mouthful of flavors with hints of minerality and spice.  Rich, round and juicy with a lingering finish.  This wine pairs well with seafood, poultry, veal and pasta dishes with rich sauces priesthoodel."
2683,Palett & Lubelloin Malbett Sintake Pinot Noirrer La Coulleros Chardonnay 2015,White Wine,Chardonnay,"Santa Barbara, Central Coast, California","Pale straw color with bright green hues. The aromas are classic Santa Barbara with pear, cantelope, melon, and vanilla, with a touch of cinnamon, nutmeg, and oak. On the palate the wine is medium-bodied, with flavors of ripe pear, citrus, green apple, and lemon zest, followed by a hint of vanilla and barrel toast. The mouthfeel is round and juicy, with a nice mouthfeel and good length. The acidity is bright and well-integrated, and the finish is long, fresh, crisp, and clean. The wine will pair well with a wide range of foods including grilled fish, shellfish, shellfish-based sauces, poultry, veal, and light pasta dishes."
2684,Frins amboukere Rionts Rever Valley Merlot 2008,Red Wine,Merlot,Australia,"This wine is a rich, supple and elegant wine, with subtle, spicy oak, fruit and spice characters. The bouquet is very intense with the ripe, blackberry, plum and sweet vanilla notes, combined with well integrated, fine, well-integrated tannins. The wine has a full, sweet and lingering finish."
2685,Crrott-Stur Riserve Charly 2012,Red Wine,Bordeaux Red Blends,"Napa Valley, California","Our 2012 Riserve Charly is an elegant wine with deep aromas of blackberries, cherries and licorice. On the palate, the wine opens with a hint of sweet oak and flavors of blackberries and plums. This wine has a round mouthfeel with a hint of Praise and oak on the finish. The wine is well-balanced with well-integrated tannins and a pleasant acidity. The wine has a long, clean finish and is delicious now and will cellar well for at least 10 years. It is delicious with a grilled or grilled rib-eye steak, roasted vegetables and pasta dishes with roasted tomatoes."
2686,Paat,White Wine,Chardonnay,"Chablis, Burgundy, France","The wine shows freshness and fruit on the nose with aromas of citrus, pear, apple, citrus and mineral undertones. The mouthfeel is fresh and full of freshness with balanced acidity and a fresh mineral touch. The flavors mirror aromas with a nice length of minerality and refreshing acidity. The wine shows good volume on the palate with good balance between the fruit and freshness."
2687,Clag'Os Viogete Canna River Castega Vontiona Ribanga Cuvee Colasto 2009,White Wine,Other White Blends,"Colchagua Valley, Rapel Valley, Chile ($)    of the Vintage Port [response] This wine is a fresh and aromatic wine, with a good balance between fruitiness and aromas of mineral, vanilla and spice.  A very easy-drinking wine with good body, fruity and mineral flavors.   The finish is crisp and long, with good acidity.",
2688,Worthand Ray Carnestierde Terrantes 2008,Red Wine,Other Red Blends,Chile,"This wine is the perfect accompaniment to Asian foods such as curry, soy, ginger, and sweet and sour peppers. Serve at room temperature and allow to warm in your glass for optimal enjoyment of aromas and flavor..  , Weingut Sparr, Winemaker"
2689,Aldoya Groglio Sangroneldibange 2003,Red Wine,Sangiovese,"Tuscany, Italy","Ruby red in color with red highlights. Aromas of red fruit, cherry, blackberry, with touches of earth, minerals, and vanilla. Well-balanced, well-structured, well-balanced tannins, with excellent acidity. Long finish. A great companion to roasted and grilled meats."
2690,Kunta Wine Cellars Sauvignon Blanc 2004,White Wine,Sauvignon Blanc,Chile,"This wine has an attractive straw color with green tints.  Aromas are reminiscent of grapefruit, gooseberry, citrus and a hint of melon.  It is a well- meaningful wine with good intensity and good balance between fruit and acidity.  aromas are reminiscent of grapefruit, gooseberry, citrus and melon.  The flavors mirror aromas with tropical fruit and peach.  This wine is a refreshing wine with an appealing mineral finish."
2691,J. Lottric Dordono Calone Les Premier Cru 2014,Red Wine,Pinot Noir,"Dijon, Burgundy, France","This wine shows great intensity on the nose with fresh aromas of red fruits, spices and sweet floral tones. The mouthfeel is generous, well-rounded and very well-structured. The finish is very persistent and pleasant., The Wine Advocate"
2692,Ducheral's Burlan Napa Valley Cabernet Sauvignon 2014,Red Wine,Cabernet Sauvignon,"Napa Valley, California","Aromas of ripe black cherries, cassis, blackberries, and blackberries with a hint of vanilla. Flavors mirror aromas with a hint of spice and toastiness. The mouthfeel is soft, juicy, and well-balanced with bright acidity and well-integrated tannins. The finish is long, sweet and fruity with lingering notes of caramel and spice. The wine is ready to drink now and will cellar well for the next 2- 3 years."
2693,Pedanick Ede Dondslon Sonns Cellari 2016,Red Wine,Other Red Blends,"Languedoc, South of France, France","The preventative, primary and persistent taste profile are in perfect harmony with each other, with fresh, lively and delicate aromas. The finish is long, fruity, and long with a touch of bitterness."
2694,du Rhomede Ladioy Pinot Gris 2011,White Wine,Pinot Gris/Grigio,"Willamette Valley, Oregon","L Husseren, the proprietor, likes to describe the 2011 Ladioy as a lively wine, with refreshing acidity and minerality, and juicy fruit flavors of pear, apricot and honeydew, with hints of citrus."
2695,Domaine de la Valley Chamiles Vaux 2008,Red Wine,Pinot Noir,"Alsace, France","Vaux is an appellation wine, and represents the very best quality of the Alsace region. This wine is characterized by a deep ruby color, a strong and very typical nose of ripe fruit, and a velvety mouthfeel. The overall impression is one of powerful flavors and ripe, sweet tannins with a touch of acidity and an aromatic aftertaste."
2696,Yalumay Ounth Miney Grot 1998,Red Wine,Other Red Blends,Chile,"Deep, intense and intense ruby red.  The nose is very aromatic with notes of spices, coffee and vanilla.  A very rich wine with a touch of sweetness.  The mouth feel is round and full, soft and round with good tannins and acidity.  The finish is long, pleasant and with lingering aromas.  The wine is a perfect match for meat and game dishes."
2697,Clis Sellarciot Parosmicesdans Pinot-Gavignon 2015,Red Wine,Pinot Noir,"Friuli-Venezia Giulia, Italy","Intense ruby red with purple highlights.  Very clean nose, intense and ripe with hints of raspberry, blackberry, cherry and currant.  Fresh on the palate, soft and well-rounded with pleasant mineral and balsamic tones.  Long and well- formerly dry finish."
2698,de Lattas Lankser Carmestis's Pinot Noir 2004,Red Wine,Pinot Noir,"Carmel Valley, Monterey, Central Coast, California","The aromas offer up the classic Carmestis's characteristics, with aromas of blackberries, cherries and spice. On the palate, this wine shows flavors of blackberries and plums with slight earthiness and mineral overtones. The mouthfeel is round and rich, with a nice acidity that helps balance the full-bodied structure of this wine."
2699,CRisro Chardonan Red Blanc 2017,Red Wine,Chardonnay,"Monterey, Central Coast, California","The 2017 Chardonnay is bright, ruby in color with aromas of bright red fruits, spice, and roasted almond. The entry is medium-bodied with flavors of cherry and strawberry, balanced by nice acidity, lingering on the finish with good acidity and well-integrated oak.   The wine is very drinkable now, but will cellar well for the next 2-3 years."
2700,Flokk Rock The Vineyard bintte Selecico Pesetta Valley Head-Baytond Atmage 2016,Red Wine,Bordeaux Red Blends,"South Australia, Australia","A beautiful deep red color with violet tones, this wine has lifted aromas of fresh cherry, blackcurrant and blackberry with subtle sweet spice and chocolate. On the palate, the wine has mouthwatering acidity and medium bodied tannins, with flavours of blackcurrant, blackberry and cocoa powder. This is a well-balanced wine with a long, elegant finish."
2701,Granjis Moscatle Valley Merlet Pinot Noir 2014,Red Wine,Pinot Noir,"Moschofilero, Spain","This wine has a deep ruby-red color with violet tones. It is fruity and soft on the nose with notes of red fruits and spices. On the palate, it is a fresh wine with fresh acidity, good acidity and soft, well brewing tannins. The mouthfeel is full and generous with very good balance between sweetness and freshness."
2702,Raydond Han de Arrise Saint-Cond Jeap Vineyard Pinot Noir 2017,Red Wine,Pinot Noir,"Yamhill-Carlton District, Willamette Valley, Oregon","This is an easy drinking wine that will pair well with a wide variety of foods including grilled salmon, pork roast, roast chicken and cheeses. This wine is a good match for Asian dishes, Asian-inspired pasta dishes with Asian sauces, Asian foods with ginger, black pepper, and spices, as well as dishes with roasted vegetables and vegetables that are vegetarian or with vegetables cooked with mushrooms and tomatoes, and red meat and grilled vegetables."
2703,Franciens Quistagelli Le Bronella Ila 2017,Red Wine,Other Red Blends,"Collio Goriziano, Friuli-Venezia Giulia, Italy","Bold, full-bodied and elegant with firm but supple tannins. The color is deep ruby with violet tones. A very well-rounded and intense bouquet. Intense bouquet with good acidity and great balance between fruit and tannins. Le Bronella Ila is a very well-balanced wine with good freshness. A very versatile wine with a good ageing potential."
2704,Donentai d'Allessa Chianti Clansis Barbarino (1.5 Liter Mabbe) 2000,Red Wine,Sangiovese,"Chianti, Tuscany, Italy","This wine is a superb value, offering up flavors of cherries, berries, spices, mint and a hint of minerals.  A soft, round, medium-bodied, velvety wine with a velvety finish."
2705,Santura Reserve Sauvignon Blanc 2016,White Wine,Sauvignon Blanc,"Casablanca Valley, Chile","Bright yellow in color, with green tinges. The nose features lime and grapefruit aromas, with delicate floral notes. The mouth is fresh, with crisp acidity, and a mineral character. Flavors mirror aromas, with a pleasant and round mouthfeel."
2706,Baron Marias Vigno Burmaltono Risernha Tava Zinfardel 1998,Red Wine,Other Red Blends,Australia,"The bouquet shows a complex range of berry, plum, cherry, spice, liquorice and tobacco characters.  The flavour is of ripe berry fruit with sweet oak, spices, chocolate, chocolate and coffee flavours on the palate.  FWGT"
2707,Siwootiras Coasti Selock Siypesi Magnumi Syrah 2010,Red Wine,Syrah/Shiraz,Chile,"Deep ruby in color with intense aromas of black cherries, strawberries and spices. Medium bodied with well-balanced acidity, sweet tannins, and a long finish. Serve well-chilled.      wine.  Enjoy this wine as an appetizer or with a wide variety of foods."
2708,Hudes Les Familliay Viestiont Red Blend 2016,Red Wine,Bordeaux Red Blends,South Africa,"This wine has aromas of cherry, blackberries, blackcurrants and spices. It is well-balanced with ripe and well-integrated tannins. The flavors mirror aromas with blackcurrants, blackberries and cherries, cassis and black pepper, vanilla, black pepper and cocoa powder. The mouth feel is soft, round and juicy with a good structure. The finish is lingering and soft with vanilla and toast. This wine can be enjoyed now and for the next 3-5 years."
2709,Zalbach Or Red Rosse 2017,Pink and Rosé,Rosé,Austria,"Red Rose of Pinot Noir 2017 [response] The 2017 vintage was one of the most exciting vintages in the Rheingau area. The grapes were picked at optimal ripeness to ensure fresh, vibrant and vibrant flavors.  Vibrant aromas of strawberries, cherries, raspberries and raspberries with sweet floral notes. Fresh flavors of strawberries, cherries, and strawberries.  Fresh and refreshing with crisp acidity."
2710,Fedor Farmily Rose Riselakt Cabernet Sauvignon 2013,Pink and Rosé,Rosé,"New York, Other U.S.","This is a refreshing, dry rosé wine with vibrant flavors of cherry and strawberry. The flavors are vibrant and fresh with lively acidity and balanced sweetness. This wine is well-balanced with a good mouthfeel. It is an excellent food companion and can be paired with grilled foods, pasta dishes with tomatoes and rich cream sauces, light poultry dishes and grilled fish. Serve slightly chilled."
2711,Pos Creek Pinot Noir 2003,Red Wine,Pinot Noir,"Willamette Valley, Oregon","The nose is complex with earthy tones, strawberries, and cherries, followed by more subtle tones of pepper and licorice. The mouthfeel is soft and soft, yet with excellent mouth-coating viscosity. The wine is medium-bodied, with supple, supple tannins that give good balance and length. The finish is long and pleasant, with lingering flavors of ripe fruit. The mouthfeel is a perfect accompaniment to grilled fish, poultry, or pasta dishes with light sauces."
2712,Molbent Vineyards Winerre Hosu Pinot Noir Riserva (375ML half-bottle) 2010,Red Wine,Pinot Noir,"Willamette Valley, Oregon","This wine is a classic Oregon wine that displays aromas of cherry, violet, and floral aromas, with a touch of chocolate. Flavors mirror aromas with the aromas carrying through to the mouth. On the palate, the wine is juicy and well-balanced with ripe flavors of raspberry, cherry, and strawberry, complemented by a touch of mineral and oak. The wine has excellent depth of flavor with flavors of red fruit, earth, spice, and sweet oak."
2713,Watph Drensca Cabernet Sharlos Blend 2002,Red Wine,Bordeaux Red Blends,Chile,"This wine is produced from the Cabernet Sauvignon grape that is the backbone of the blend. The blend is comprised of 90% Cabernet Sauvignon, 10% Merlot, 10%orative blend of the Cabernets and Merlots, and 5% Cabern signing the blend is made with 5% Cabernet Franc. The wine is aged for 5 months in oak barrels and is bottled without fining or filtration. The blend is very typical of the region of Chile, where it is produced. The wine is very deep in color with red highlights, and displays aromas of ripe fruit and spices. The mouthfeel is rich, round and well-rounded, with round tannins. The finish is long and pleasing."
2714,Pprards Cabernet Sauvignon 1995,Red Wine,Cabernet Sauvignon,"Napa Valley, California","Our Cabernet Sauvignon is a wine of incredible depth, concentration and richness. The aromas are of blackberries, black cherries, chocolate and cedar. The discouraging tannins are fine and supple, which carry flavors of sweet oak and caramel. The mouthfeel is soft and round with lingering flavors of cassis and black cherries. The finish is long and sweet, with lingering sweet, toasty oak. The wine will improve over the next 2- 3 years and continue to improve over the next 3 to 4 years."
2715,Baran Nich Shiruz Vineyard Merrat 2000,Red Wine,Syrah/Shiraz,"Barossa Valley, Barossa, South Australia, Australia","This wine is a blend of Merlot and Cabernet Sauvignon grapes grown in the BarossAA vineyard. The wine is a deep, dark ruby red colour with a hint of purple. bondage has produced a wine with aromas of blackberry, blueberry and chocolate with a subtle hint of oak and mint. The palate is medium-bodied with sweet fruit flavours with hints of mint, spice and vanilla. The wine has a velvety mouthfeel with fine-grained, well-integrated tannins, which imperceptible and well-integrated oak, with flavours of blackberries, dark chocolate and coffee, and a long, lingering finish."
2716,Mudeuis St. Merot Merlot 2001,Red Wine,Merlot,Chile,"Vibrant aromas of ripe fruit, particularly cherries, with attractive tones of vanilla and toast.  Rich, soft, and well-balanced on the palate, with ripe flavors of black cherries and plums, supported by sweet oak and good acidity.  Very well-rounded, with silky, round Tongue-coating tannins.  The finish is long and fresh, with good length.  The wine is well-suited to a wide variety of foods including grilled and grilled foods, grilled vegetables and pasta dishes with light sauces."
2717,Oidge Moscol Pinot Grigio Reserva Valley Peytmiagh Will Pinot Noir 2003,White Wine,Pinot Gris/Grigio,Chile,"This Pinot Grigio is a refreshing, medium-bodied wine with an attractive, clear yellow color.  The aroma is characterized by fresh, fruity aromas and floral tones with attractive, spicy hints.  The mouthfeel is well-balanced, fresh, pleasant and medium-bodied with balanced acidity.  The flavor iscompetitive, clean, well-balanced and pleasant.  The finish is long and pleasant."
2718,Galo Ano Naighli Vineyard Chardonnay 1999,White Wine,Chardonnay,"Central Coast, California","This Chardonnay is medium straw in color with green tones.  The nose has aromas of pear and citrus with slight tropical tones.  The mouthfeel is soft and supple with flavors of pineapple and toasted bread. ooooo this wine will pair well with shellfish, fish and creamy cheeses."
2719,Vina Estate Chardonnay 1998,White Wine,Chardonnay,"Napa Valley, California","The aromas of the wine are very clean with green apple, vanilla, and mineral characteristics.  The mouthfeel is full and round with flavors of melon, pear and pineapple and a hint of sweet oak.  The flavors mirror aromas with a hint of vanilla from the oak.  The finish is long and smooth.  This wine is ready to drink now and will cellar wellaterasu																																																											 unatt																																																				 Width		 Survivors									cu  -V - -"
2720,Wole Cellary Maglec Issania Chardonnay 2004,White Wine,Chardonnay,Chile,"The wine is a golden dope with a pleasant, clear color.  On the nose, the wine offers freshrator cherries, ripe pear and pineapple aromas.  In the mouth, the wine is soft and well-balanced, with medium-to-high acidity.  The finish is soft and pleasant, with lingering minerality.  It is an excellent accompaniment to dishes of seafood, grilled fish, poultry, veal and rich cheeses."
2721,19 Stenotttays Sauvignon Blanc 2015,White Wine,Sauvignon Blanc,"Marlborough, New Zealand","This wine is brilliant with a pale straw color. The nose offers intense aromas of passionfruit and gooseberry, complemented by hints of citrus and flinty, mineral elements. The palate is vibrant, fresh and refreshing, with an abundance of mineral flavors, balanced by refreshing acidity, great texture and a crisp, lingering finish. This wine is very food friendly, particularly if served chilled."
2722,Grenfang Hansty Sauvignon Blanc 2001,White Wine,Sauvignon Blanc,,"In the glass the wine is a lovely straw color. The nose offers classic Sauvignon Blanc aromas of fresh herbs, gooseberries, and lemon-lime. A fine, yet crisp wine, this wine is full of flavor. The palate is full of flavors, with flavors of gooseberries, gooseberries, and fresh herbs. The flavors mirror aromas with freshness, balance, and a pleasant finish."
2723,Colny Family Vineyards Vineyardsards Malbec 2013,Red Wine,Malbec,"Mendoza, Argentina","Deep red in color with violet tones. Aromas of blackberry, black cherries, plum, blueberry, fig, licorice, spices and vanilla. Rich and well-balanced with round and ripe tannins. On the palate, it has a fruity flavor profile with round and silky tannins. A well-balanced wine with great aging potential."
2724,Dombouho's Caberret Saiven Saint Piesitam Galvas 2007,Red Wine,Other Red Blends,South Africa,"Aromas of fresh, ripe fruit, spicy notes and a touch of earthiness.  Flavours mirror aromas with round and silky tannins.  The finish is long with sweet fruit and well-integrated oak Sasitacoustics."
2725,Gramosson Filgpett Merlat 1998,Red Wine,Other Red Blends,Austria,"Rich, ripe, fruity, velvety, round, easy to drink wine. The name Filgpett is Latin for full bodied wine.,   wine,   wine,   and   wine,  and  wine,  and  and  and  wine,  and  and  and  wine,  and  wine,  and  and  and  and  wine,  and  and  wine,  and  wine,  and  wine,  and  wine,  and  and  and  wine,  and  and  and  and  and  and  and  and  and  and  and  and  and  and  and  and  and  and  and  and  and  and  and  and  and  and  and  and  and  and  and  and  and  and  and  and  and  and  and  and  and  and  and  and  and  and  and  and  and  and  and  and  and  and  and  and  and  and  and  and  and  and"
2726,Bodeg Grenello Lesapa's Creek Syrah 2015,Red Wine,Syrah/Shiraz,"Monterey, Central Coast, California","Aromas of blackberries, white pepper, and earth are followed by flavors of plum, leather, cedar, and toast. The mouthfeel is soft, round, and well-balanced with soft, round tannins that linger on the palate. The finish is long, bright, and fresh with balanced acidity and lingering minerality. This wine is an ideal companion for grilled steak, lamb chop, or roastedVENICERIES."
2727,Wide Sims Hirisen Brancs TraumGutinana Barbit The Cossannedas Cabernet Sauvignon 1996,Red Wine,Cabernet Sauvignon,Chile,"Bright ruby color.  Rich aromas of ripe cherries, plums and licorice.  A rich, full-bodied wine with well-integrated tannins.  Pair with grilled fish and poultry dishes."
2728,Loben Weliche Blanck-Six-Sailn)s Courtain Merlot 2018,Red Wine,Merlot,"Monterey, Central Coast, California","The 2018 Weliche Blanck-Six-Sailn Merlot has aromas of cherry, plum, and strawberry with flavors of cherry, cranberry, and vanilla. The wine is well-balanced with good acidity and sweet, round tannins. The finish is fresh and well-balanced with lingering flavors of raspberry, currants, and caramel.  Serve at room temperature."
2729,Castellwo Cateau Ela Hircieadi Nata Valleyy Vinaliu Sauvignon Blanc 2008,White Wine,Sauvignon Blanc,"Marlborough, New Zealand","The wine isprocured from a vineyard located in the Awatere Valley, associated with the Awatere River. This is a dry, crisp and fruity wine with a distinct mineral character, typical of the Awatere River. It is well-balanced in style, with freshness and fresh acidity and a lingering finish."
2730,Elial Leborgna Rowe Winery Red Block de Canegneis 1998,Red Wine,Other Red Blends,"Burgundy, France","auras of spices, balsamic and sweet-ripe black cherries, with some mineral tones.  The flavors mirror aromas with black cherries and blackberries dominating with sweet-ripe, toasty oak, hints of vanilla, chocolate, and toast."
2731,Chateau Marie Rose 2017,Pink and Rosé,Rosé,"Central Otago, New Zealand","Chateau Marie Rosé has a brilliant pale pink color and a hint of salmon. The aroma is a blend of fresh raspberries and strawberries with a hint of floral tones. The palate is refreshing, medium bodied and well-balanced with fresh acidity, medium sweetness, medium alcohol, and a long dry, persistent finish."
2732,Gamas Moascoal Herdan Barbeta 2014,Red Wine,Nebbiolo,"Barbaresco, Piedmont, Italy","Rich garnet red with orange reflections. Intense nose, marked by aromas of ripe fruits, cherries, strawberries, cherries, redcurrants and plums, with subtle hints of spices, violet and violet flowers. It is a well-rounded wine, with well-integrated tannins, balanced acidity, freshness and a pleasant finish."
2733,Olti Goarci 2016,Red Wine,Bordeaux Red Blends,"Collio Goriziano, Friuli-Venezia Giulia, Italy","The name Goyette, meaning “little boy”, refers to the boy who first introduced Olti to the Collio Goriziano vineyards in the 18th century. The name is derived from the Latin word for “little boy”, glistening in the sun, and was chosen to honor the boy’s affinity for eating the grapes with his father."
2734,Triocanina Bulalcalinal Carnato 1998,Red Wine,Other Red Blends,"Veneto, Italy","The wine has an intense ruby red color with intense, spicy and fruity aromas, which harmonize well with the subtle sweetness of the tannins.  On the palate, the wine is well-balanced with a good balance between acidity and sweetness.  The aftertaste is long and pleasant with notes of fruit, mineral, tobacco, leather and vanilla."
2735,Villamey Eller Granti Pasasitent Pinot Noir 2015,Red Wine,Pinot Noir,"Willamette Valley, Oregon","254 cases produced.  Aromas of cherry, strawberry, and vanilla are followed by flavors of red fruits, cherries, and raspberries.  The mouth Guests with medium tannins that lead to a well-balanced and resurrecting finish.  A versatile food companion.  A perfect match for cheeses, salmon, duck, red meats, and other dishes."
2736,Ravocucello Chiant Chardonnay 1999,White Wine,Chardonnay,Chile,"The wine has a very attractive straw color with greenish tints.  The nose offers aromas of pear, apple, and tropical fruit with a touch of toastiness.  The mouthfeel is medium-bodied with Identification of the typical varietal characteristics of Chianti, with medium-high acidity.  The mouthfeel is medium-long and fresh with pleasant flavors of fruit and fresh fruit.  The finish is soft, round, and refreshing with long, well-balanced acidity.  It is a well-balanced wine, perfect for food matching and enjoyment with food.  It is an excellent companion to seafood, shellfish in cream sauce, poultry, veal, and cream based pasta dishes."
2737,Iromero Familuurs Chardonnay 2000,White Wine,Chardonnay,Chile,"The fruit is grown in the Casablanca Valley of Chile. The grapes are selected from vineyards located in the Casablanca Valley. The wine is fermented in French oak barrels for 8 months and aged on the lees for a minimum of 1 year before bottling.    The result is a crisp, refreshing wine with flavors of tropical fruit and peach.   The wine is a good companion to grilled fish, shellfish, fowl, and pasta dishes with white sauces."
2738,Bodegas Ondro d'Arladi Riserva 1997,Red Wine,Other Red Blends,Italy,"The wine is full of berry and spicy tablas flavors straightforwardly on the674.  It is an excellent value, and is meant to drink now or cellar for two to three years.  The wine refuger is located in the village of Castiglione Falletto.  It is a perfect complement for Mediterranean dishes, particularly roasted vegetables, veal and roasted peppers."
2739,Lunta Felielo 2000,White Wine,Other White Blends,"Friuli-Venezia Giulia, Italy","The color is pale yellow with greenish hues.  The bouquet is delicate, floral, with notes of lime, apple and fruit, reminiscent of peaches, apricots, bananas, pear and peach.  The taste is well-balanced, fruity, pleasant, and soft.  The mouthfeel is fresh, fresh, fruity and pleasantly tannic.  It is well-balanced, well-rounded and well-balanced.  The aftertaste is long and pleasant, full of character and of freshness."
2740,Chateau Pe Dravin Pous Sait Bowes Terre Caryvion Silo D. Domaine Lanciens Pea Hombettave Pinot Noir 2008,Red Wine,Pinot Noir,"Willamette Valley, Oregon","The 2008 Pous Sait Bowes is medium garnet in color. The nose offers aromas of red fruit, strawberries and cherries with aromas of earth and spice. The mouthfeel is soft and generous with ripe flavors of red and black cherries, strawberries and strawberries and raspberries. The finish is long with a good acidity. The tannins are present but fine and well-integrated. This wine will cellar well for up to two years and will pair well with grilled fish, particularly Northwest Salmon, especially Northwest Salmon in cream sauce and veal dishes Paleo."
2741,Jestupumonas Rieslina 2016,White Wine,Riesling,"Rheingau, Germany","This wine is a wine with intense aromas of citrus and fruit with hints of citrus. The palate is full and round with flavors of lemon and grapefruit. The wine has a crisp and refreshing taste, which is balanced by a clean, clean acidity. The Riesling is a great match for a wide range of dishes, especially those with citrus, fruits and cream sauces."
